,date,open,close,high,low,volume
2015-12-14,735946.0,67.6754754661,67.518528,68.0972823264,66.5081544085,6393000.0
2015-12-15,735947.0,68.4209955689,68.813376,69.2940366819,68.2640402574,6247200.0
2015-12-16,735948.0,69.362704,69.362704,69.6079405471,68.4700468924,5581800.0
2015-12-17,735949.0,69.4411813251,68.244426,69.6079402144,68.0874785344,4800000.0
2015-12-18,735950.0,67.8128062978,66.57682,67.8128062978,66.282533204,17898900.0
2015-12-21,735953.0,66.8514834575,67.09672,67.4596651782,66.6945281465,4733400.0
2015-12-22,735954.0,67.4302389195,67.538143,67.8128069514,66.9103384214,3796800.0
2015-12-23,735955.0,67.7343374657,68.636806,68.656421981,67.6264324037,5278000.0
2015-12-24,735956.0,68.4111847182,68.823188,69.1665172015,68.4111847182,1956400.0
2015-12-28,735960.0,68.6662331231,68.430808,68.76432578,68.0384285441,2860700.0
2015-12-29,735961.0,68.9408966074,69.205756,69.264610809,68.7839491422,3838800.0
2015-12-30,735962.0,69.1665172015,68.823188,69.4019423232,68.7447103436,2792700.0
2015-12-31,735963.0,68.6760442634,68.22481,68.9801356184,68.2051871525,3474000.0
2016-01-04,735967.0,66.7926220946,66.302149,66.8809111754,65.4977741059,9248300.0
2016-01-05,735968.0,66.0863468649,65.281971,66.4198646411,64.4187334598,10809200.0
2016-01-06,735969.0,64.2770193439,63.469123,64.5824484977,63.2917799001,9752200.0
2016-01-07,735970.0,62.3755100808,62.897686,63.3016341714,62.1489059943,11323900.0
2016-01-08,735971.0,63.2326677106,62.690787,63.4592767244,62.6316716479,10003600.0
2016-01-11,735974.0,62.7991647839,63.10459,63.2622243717,62.1686075923,8157100.0
2016-01-12,735975.0,63.8435187618,63.449422,63.9420417207,62.6612265059,7560000.0
2016-01-13,735976.0,62.7104935078,61.922298,63.4198669032,61.3114515062,11291200.0
2016-01-14,735977.0,61.9222966917,62.355805,62.8090141561,61.4493827468,6664000.0
2016-01-15,735978.0,61.1144013099,61.981413,62.119345536,60.5922253934,8597300.0
2016-01-19,735982.0,62.4740333597,61.715398,62.848425335,61.3213051768,7652100.0
2016-01-20,735983.0,60.6316362029,62.099641,62.6021150855,60.3853263426,9043800.0
2016-01-21,735984.0,62.0700851863,61.715398,63.3706012569,61.5873158866,8992300.0
2016-01-22,735985.0,57.5281303918,54.247285,58.0207501159,53.3408627372,43783400.0
2016-01-25,735988.0,53.6561399181,54.207875,54.9468045938,53.3408632914,18498300.0
2016-01-26,735989.0,54.3852183241,54.276841,54.9172486094,54.148758887,12844800.0
2016-01-27,735990.0,54.5527075502,53.715255,54.9960662894,53.6167290842,11044100.0
2016-01-28,735991.0,53.8728930213,52.099463,53.9517102067,51.3802391881,18015000.0
2016-01-29,735992.0,52.3950333794,52.71031,52.917209297,52.2669512671,13981100.0
2016-02-01,735995.0,52.6216381455,53.892598,54.178318421,52.2176899777,9861900.0
2016-02-02,735996.0,53.5280614034,52.867949,53.5871728148,52.7004602636,11698400.0
2016-02-03,735997.0,53.2029296765,53.311307,53.4886500989,52.050201504,9729800.0
2016-02-04,735998.0,53.2817511518,53.577322,53.6561391851,53.0157355164,6904000.0
2016-02-05,735999.0,53.9123031712,53.183225,54.0403813428,53.0157352803,9159600.0
2016-02-08,736002.0,52.4541491196,51.626548,52.6610484142,51.4590553268,11830600.0
2016-02-09,736003.0,51.4886114495,51.853153,52.2373953985,51.143779614,8588900.0
2016-02-10,736004.0,52.2176910266,51.518172,52.6413439916,51.508317635,7081900.0
2016-02-11,736005.0,50.4639653389,50.355589,50.8285029482,49.5279868813,9214500.0
2016-02-12,736006.0,51.1142232207,51.882709,51.9516757609,50.8777637842,6107700.0
2016-02-16,736010.0,52.2275413229,52.395034,52.6906058353,51.9516762471,7163800.0
2016-02-17,736011.0,52.7103096771,52.818687,53.2029293937,52.5132608052,8638900.0
2016-02-18,736012.0,52.7103103893,53.350718,53.5477619483,52.6610494022,8502900.0
2016-02-19,736013.0,53.449239841,53.902449,54.2177256221,53.232486178,6557000.0
2016-02-22,736016.0,53.9024487453,54.808871,54.808871,53.9024487453,6537800.0
2016-02-23,736017.0,54.7004931813,54.296546,54.7793103652,54.1487581149,5884100.0
2016-02-24,736018.0,53.6462894735,53.833483,54.0600880753,52.7694263558,5596400.0
2016-02-25,736019.0,53.9714159372,54.572412,54.572412,53.4985010025,4385900.0
2016-02-26,736020.0,54.8876890497,54.562562,55.0748875018,54.3359579106,5886800.0
2016-02-29,736023.0,54.4837400013,54.75961,55.3211964803,54.0009746466,10380500.0
2016-03-01,736024.0,55.2029656204,55.9616,56.0010105634,54.7990174443,9160800.0
2016-03-02,736025.0,56.0404205042,56.276876,56.385253324,55.7349952916,7266200.0
2016-03-03,736026.0,56.3162873059,57.23256,57.321231551,56.3162873059,6848000.0
2016-03-04,736027.0,57.5773919457,57.429608,57.784295184,56.9566930683,5410000.0
2016-03-07,736030.0,57.1438875593,58.129127,58.6020419315,56.7793499515,9373500.0
2016-03-08,736031.0,57.9714897197,58.552781,59.1143674912,57.8434076049,10556900.0
2016-03-09,736032.0,58.8483528166,58.178389,58.9074681693,57.6562130726,6469000.0
2016-03-10,736033.0,58.4148472819,57.882817,58.582336016,57.193148408,6484100.0
2016-03-11,736034.0,58.6513037618,58.582337,59.0256957399,58.1488326251,7837300.0
2016-03-14,736037.0,58.6315976626,58.690714,59.055251611,58.1389779379,4253400.0
2016-03-15,736038.0,58.4838141124,58.355732,58.5232246752,57.7645893216,3881900.0
2016-03-16,736039.0,58.0404558512,58.818796,59.0158448747,57.8532613415,4882600.0
2016-03-17,736040.0,58.6710081369,59.193188,59.6069865976,58.4444040491,4609800.0
2016-03-18,736041.0,59.4197921022,60.31636,60.5429650731,59.1439230862,8341300.0
2016-03-21,736044.0,60.0897562758,60.306506,60.4739986777,59.9518188113,3665600.0
2016-03-22,736045.0,59.873000324,59.715363,60.0010834207,59.0256944119,4783200.0
2016-03-23,736046.0,59.8040357617,59.735069,60.0109350615,59.3902332211,3605100.0
2016-03-24,736047.0,59.3311211355,59.577431,59.6266919877,58.720269716,3549900.0
2016-03-28,736051.0,59.8730013152,59.390233,59.8927070895,58.9764344019,3261900.0
2016-03-29,736052.0,59.2227446228,59.705509,59.7547749137,58.5823370066,4210300.0
2016-03-30,736053.0,60.0799012304,59.400087,60.0996060192,59.3015610852,5103200.0
2016-03-31,736054.0,59.6168359659,60.493703,60.6119297612,59.3902318822,6310200.0
2016-04-01,736055.0,60.0799022353,60.198129,60.7498650678,59.6661026476,4167500.0
2016-04-04,736058.0,60.1094563972,59.725214,60.158721325,59.5675756893,3367300.0
2016-04-05,736059.0,59.2522990279,59.301561,59.5478708604,58.7990898701,4640000.0
2016-04-06,736060.0,59.2421646326,59.281766,59.4500656241,58.8263586895,4112100.0
2016-04-07,736061.0,58.8560605533,58.271955,58.9253602221,58.113553494,4051300.0
2016-04-08,736062.0,58.4105562857,58.905561,59.6579661857,58.4006581714,4602800.0
2016-04-11,736065.0,59.0738607839,59.202563,59.4797686108,58.6877580957,4033400.0
2016-04-12,736066.0,59.40056559,60.073772,60.1034712928,59.2025627147,4360300.0
2016-04-13,736067.0,60.2816730373,61.538986,61.8062885454,60.232173556,4689700.0
2016-04-14,736068.0,61.5389866767,61.885488,62.0537915845,61.3508858734,4017900.0
2016-04-15,736069.0,62.0339908937,61.519185,62.2121925911,61.2914838211,4395700.0
2016-04-18,736072.0,61.1924836374,61.96469,62.0042913671,61.1132818933,3137400.0
2016-04-19,736073.0,62.1230912734,62.934899,62.9745003669,62.1131931592,4798400.0
2016-04-20,736074.0,63.4794074554,64.37041,64.6773178725,63.2814006199,8498700.0
2016-04-21,736075.0,66.330631103,64.954519,66.6672303456,64.7466180119,9466700.0
2016-04-22,736076.0,64.4001166679,65.271322,65.5584257259,64.4001166679,5946300.0
2016-04-25,736079.0,64.9842174147,65.043616,65.1921184032,64.4892127042,4201700.0
2016-04-26,736080.0,65.3208248664,65.538621,65.7663261379,64.9743156274,3979600.0
2016-04-27,736081.0,65.7267255499,65.568328,66.0039272023,65.1723232351,4539700.0
2016-04-28,736082.0,65.0733228926,65.182217,65.8257251104,64.9050163392,3797800.0
2016-04-29,736083.0,64.9149183202,64.776317,65.1327213848,64.2021095506,5051200.0
2016-05-02,736086.0,64.9248200376,65.023819,65.3901254571,64.5288142878,4330000.0
2016-05-03,736087.0,64.3803126886,64.20211,64.4001168374,63.6873090529,4737000.0
